run_id,strategy,use_trigger,seed,split,iteration,n_labels,accuracy,balanced_accuracy,macro_f1,max_uncertainty
temporal-random-s43,random,False,43,temporal,21,230,0.54392,0.5092224053738355,0.497046838301446,
temporal-random-s43,random,False,43,temporal,22,240,0.5472,0.5099217522362178,0.4947047882895553,
temporal-random-s43,random,False,43,temporal,23,250,0.55008,0.5081271103136381,0.486151373855436,
temporal-random-s43,random,False,43,temporal,24,260,0.54936,0.5105728750586216,0.4934144198332645,
temporal-random-s43,random,False,43,temporal,25,270,0.55676,0.5101791382213355,0.48037785125713994,
temporal-random-s43,random,False,43,temporal,26,280,0.559,0.5131589055829319,0.48502905907452365,
temporal-random-s43,random,False,43,temporal,27,290,0.55988,0.5136728912916458,0.4849222912189689,
temporal-random-s43,random,False,43,temporal,28,300,0.56748,0.5154498095690976,0.474863579096071,
temporal-random-s43,random,False,43,temporal,29,310,0.56436,0.5165369144051137,0.4850153033629824,
temporal-random-s43,random,False,43,temporal,30,320,0.56656,0.5186581660875905,0.48721583456908196,
temporal-random-s43,random,False,43,temporal,31,330,0.56504,0.5167400483452553,0.4843007528719582,
temporal-random-s43,random,False,43,temporal,32,340,0.56604,0.517595320695599,0.4849637705504891,
temporal-random-s43,random,False,43,temporal,33,350,0.56604,0.5183442347947259,0.4872675609555974,
temporal-random-s43,random,False,43,temporal,34,360,0.56484,0.5167162803146815,0.48462372930377706,
temporal-random-s43,random,False,43,temporal,35,370,0.56808,0.517468290318549,0.480310640209471,
temporal-random-s43,random,False,43,temporal,36,380,0.568,0.5139788289257096,0.46842817755916394,
temporal-random-s43,random,False,43,temporal,37,390,0.56672,0.5136045356806298,0.47021536293280014,
temporal-random-s43,random,False,43,temporal,38,400,0.5684,0.5172342137114508,0.4788320855597781,
temporal-random-s43,random,False,43,temporal,39,410,0.5666,0.5140870545480397,0.47219633670411987,
temporal-random-s43,random,False,43,temporal,40,420,0.56764,0.5159880711022846,0.4763358237113663,
temporal-random-s43,random,False,43,temporal,41,430,0.56604,0.5116414536075399,0.4648049658032523,
temporal-random-s43,random,False,43,temporal,42,440,0.56832,0.5127087544814859,0.46289455829451814,
temporal-random-s43,random,False,43,temporal,43,450,0.56772,0.5113018869129882,0.45910130262520643,
temporal-random-s43,random,False,43,temporal,44,460,0.568,0.5133422519414517,0.4660970816320715,
temporal-random-s43,random,False,43,temporal,45,470,0.56752,0.5157716034771761,0.4758721679092898,
temporal-random-s43,random,False,43,temporal,46,480,0.56744,0.5147660405131077,0.4725882405425873,
temporal-random-s43,random,False,43,temporal,47,490,0.56672,0.5133174519426311,0.4691937788946366,
temporal-random-s43,random,False,43,temporal,48,500,0.5672,0.5141209129348047,0.4708906159279991,
temporal-random-s43,random,False,43,temporal,49,510,0.56832,0.5163659516655558,0.4760757099727571,
temporal-random-s43,random,False,43,temporal,50,520,0.5666,0.5143242106794299,0.473019959435912,
temporal-random-s43,random,False,43,temporal,51,530,0.56856,0.51648683937447,0.47593957242188606,
temporal-random-s43,random,False,43,temporal,52,540,0.56908,0.5155400986004709,0.47139558871714005,
temporal-random-s43,random,False,43,temporal,53,550,0.56876,0.5159738856340028,0.4736964149504195,
temporal-random-s43,random,False,43,temporal,54,560,0.56952,0.5187553021463793,0.4814269551250382,
temporal-random-s43,random,False,43,temporal,55,570,0.57108,0.5209702499934887,0.485320350523576,
temporal-random-s43,random,False,43,temporal,56,580,0.57016,0.5184743774569649,0.4790716163848713,
temporal-random-s43,random,False,43,temporal,57,590,0.57064,0.5186537433665327,0.47859386797943115,
temporal-random-s43,random,False,43,temporal,58,600,0.568,0.517161713846999,0.4794718142662895,
temporal-random-s43,random,False,43,temporal,59,610,0.56832,0.5169775648465095,0.47814952890635365,
temporal-random-s43,random,False,43,temporal,60,620,0.56804,0.5170840869022099,0.47912622989516235,
temporal-random-s43,random,False,43,temporal,61,630,0.56776,0.5165540319736524,0.47797563049954556,
temporal-random-s43,random,False,43,temporal,62,640,0.56752,0.5172319859704736,0.4807431194140984,
temporal-random-s43,random,False,43,temporal,63,650,0.5688,0.5191914807253721,0.484374878985941,
temporal-random-s43,random,False,43,temporal,64,660,0.56576,0.5151305710109636,0.4776431418694127,
temporal-random-s43,random,False,43,temporal,65,670,0.56732,0.5176450844977238,0.48250492432660463,
temporal-random-s43,random,False,43,temporal,66,680,0.5678,0.5170630544065127,0.4795822372683423,
temporal-random-s43,random,False,43,temporal,67,690,0.56704,0.5162787421584747,0.47864643296941006,
temporal-random-s43,random,False,43,temporal,68,700,0.56716,0.517119304866189,0.48114451948822246,
temporal-random-s43,random,False,43,temporal,69,710,0.5696,0.5175515685180232,0.4772028369422857,
temporal-random-s43,random,False,43,temporal,70,720,0.56708,0.5159265133773389,0.4773846081777462,
temporal-random-s43,random,False,43,temporal,71,730,0.56608,0.5154831437815149,0.478110571835632,
temporal-random-s43,random,False,43,temporal,72,740,0.56764,0.5174359716939301,0.48115187934738346,
temporal-random-s43,random,False,43,temporal,73,750,0.56804,0.5176582543782071,0.4810207385804508,
temporal-random-s43,random,False,43,temporal,74,760,0.56804,0.5165848108361253,0.4774536355435304,
temporal-random-s43,random,False,43,temporal,75,770,0.56844,0.5168195754220546,0.4773470528209238,
temporal-random-s43,random,False,43,temporal,76,780,0.56704,0.5144938302222221,0.4725800076247857,
temporal-random-s43,random,False,43,temporal,77,790,0.56688,0.5146046275749451,0.4733388277822714,
temporal-random-s43,random,False,43,temporal,78,800,0.56516,0.5129623074416868,0.4716585321132204,
temporal-random-s43,random,False,43,temporal,79,810,0.56564,0.513603503712383,0.47275857922102943,
temporal-random-s43,random,False,43,temporal,80,820,0.5662,0.5135027967158512,0.4710982107388535,
temporal-random-s43,random,False,43,temporal,81,830,0.5624,0.5106047514111347,0.46992491167553585,
temporal-random-s43,random,False,43,temporal,82,840,0.56268,0.5109975054215189,0.4706280390891781,
temporal-random-s43,random,False,43,temporal,83,850,0.5654,0.5128834847241672,0.47082215032555497,
temporal-random-s43,random,False,43,temporal,84,860,0.55988,0.5098284655827943,0.4729521828900818,
temporal-random-s43,random,False,43,temporal,85,870,0.56028,0.5095889179059432,0.47128088068112206,
temporal-random-s43,random,False,43,temporal,86,880,0.5632,0.5112490272061229,0.4702928388054541,
temporal-random-s43,random,False,43,temporal,87,890,0.56064,0.5091399134358826,0.46895068771234044,
temporal-random-s43,random,False,43,temporal,88,900,0.56472,0.5137288305228033,0.4752691951003255,
temporal-random-s43,random,False,43,temporal,89,910,0.56264,0.5108629400382222,0.470258508421601,
temporal-random-s43,random,False,43,temporal,90,920,0.56168,0.5097552941199596,0.46866531520104027,
